CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2021;Máster: Programa conjunto en Máster Universitario en Ingeniería Industrial-Máster Universitario en Energías Renovables y Eficiencia Energética;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;9;0;29;0.00;16/04/2022
2021;Doctorado: PD Ingeniería de sistemas e informática [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;30;0;27;0.00;16/04/2022
2021;Doctorado: PD Ingeniería electrónica [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;0;11;0.00;16/04/2022
2021;Doctorado: PD Ingeniería mecánica [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;25;0;9;0.00;16/04/2022
2021;Doctorado: PD Ingeniería química y del medio ambiente [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;60;0;18;0.00;16/04/2022
2021;Doctorado: PD Mecánica de fluidos [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;3;0;2;0.00;16/04/2022
2021;Doctorado: PD Nuevos territorios en la arquitectura [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;0;9;0.00;16/04/2022
2021;Doctorado: PD Tecnologías de la información y comunicaciones en redes moviles [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;10;0;6;0.00;16/04/2022
2021;Doctorado: PD Información y Comunicación [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;6;0;13;0.00;16/04/2022
2021;Doctorado: PD Patrimonio, Sociedades y Espacios de Frontera [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;8;0;5;0.00;16/04/2022
2021;Doctorado: PD Logística y gestión de la cadena de suministro [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;8;0;1;0.00;16/04/2022
2021;Máster: Programa conjunto en Máster Universitario en Ingeniería Industrial-Máster Universitario en Ingeniería Electrónica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;5;0;10;0.00;16/04/2022
2021;Doctorado: PD Psicología [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;20;0;21;0.00;16/04/2022
2021;Doctorado: PD Sistemas eficientes de producción y calidad agroalimentaria [RD 99/2011];Zaragoza;Escuela de Doctorado;Facultad;Doctorado;4;0;0;0.00;16/04/2022
2021;Máster: Cond. genéticos, nutric. y amb. del crec. y desarrollo;Zaragoza;Facultad de Medicina;Facultad;Máster;25;0;55;0.00;16/04/2022
2021;Máster: Robótica, Gráficos y Visión por Computador/Robotics, Graphics and Computer Vision;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;30;0;55;0.00;16/04/2022
2021;Máster: Innovación y Emprendimiento en Tecnologías para la Salud y el Bienestar;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Máster;20;0;20;0.00;16/04/2022
2021;Máster: Salud Global: Integración de la Salud Ambiental, Humana y Animal;Zaragoza;Facultad de Veterinaria;Facultad;Máster;30;0;41;0.00;16/04/2022
2021;Máster: Enseñanza del Español como Lengua Extranjera;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;30;0;99;0.00;16/04/2022
2021;Máster: Biofísica y Biotecnología Cuantitativa/Biophysics and Quantitative Biotechnology;Zaragoza;Facultad de Ciencias;Facultad;Máster;24;0;31;0.00;16/04/2022
2021;Máster: Economía Circular;Zaragoza;Facultad de Ciencias;Facultad;Máster;40;0;49;0.00;16/04/2022
2021;Máster: Física del Universo: Cosmología, Astrofísica, Partículas y Astroparticulas;Zaragoza;Facultad de Ciencias;Facultad;Máster;30;0;31;0.00;16/04/2022
2021;Máster: Culturas e Identidades Hispánicas;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;30;0;27;0.00;16/04/2022
2021;Máster: Nutrición Animal;Zaragoza;Facultad de Veterinaria;Facultad;Máster;24;0;24;0.00;16/04/2022
2021;Máster: Calidad, Seguridad y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Facultad;Máster;30;0;103;0.00;16/04/2022
2021;Máster: Gestión Estratégica de Recursos Humanos;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Máster;30;0;89;0.00;16/04/2022
2021;Máster: Ingeniería Biomédica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Máster;40;0;78;0.00;16/04/2022
